,movies,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1300055,85.0
1,Memento,2000,8.4,80,1091839,84.0
2,Snatch,2000,8.3,55,762665,83.0
3,Requiem for a Dream,2000,8.3,68,744262,83.0
4,X-Men,2000,7.4,64,559837,74.0
5,Cast Away,2000,7.8,73,507379,78.0
6,American Psycho,2000,7.6,64,468887,76.0
7,Unbreakable,2000,7.3,62,378452,73.0
8,Mission: Impossible II,2000,6.1,59,306927,61.0
9,Meet the Parents,2000,7.0,73,305172,70.0
10,"O Brother, Where Art Thou?",2000,7.7,69,277772,77.0
11,Gone in Sixty Seconds,2000,6.5,35,255868,65.0
12,The Patriot,2000,7.2,63,249679,72.0
13,Wo hu cang long,2000,7.8,94,248692,78.0
14,Almost Famous,2000,7.9,90,246222,79.0
15,Scary Movie,2000,6.2,48,227181,62.0
16,Final Destination,2000,6.7,36,223722,67.0
17,Pitch Black,2000,7.1,49,221680,71.0
18,The Beach,2000,6.7,43,218420,67.0
19,"Me, Myself & Irene",2000,6.6,49,218244,66.0
20,Amores perros,2000,8.1,83,218179,81.0
21,How the Grinch Stole Christmas,2000,6.2,46,197572,62.0
22,Remember the Titans,2000,7.8,48,193346,78.0
23,Traffic,2000,7.6,86,192450,76.0
24,What Women Want,2000,6.4,47,187961,64.0
25,Miss Congeniality,2000,6.2,43,181832,62.0
26,Chocolat,2000,7.2,64,174736,72.0
27,The Emperor's New Groove,2000,7.3,70,174014,73.0
28,Chicken Run,2000,7.0,88,173252,70.0
29,Charlie's Angels,2000,5.5,52,172836,55.0
30,Erin Brockovich,2000,7.3,73,169711,73.0
31,Batoru rowaiaru,2000,7.6,81,165693,76.0
32,High Fidelity,2000,7.5,79,164845,75.0
33,Road Trip,2000,6.4,55,154802,64.0
34,The Perfect Storm,2000,6.4,59,153243,64.0
35,"Dude, Where's My Car?",2000,5.5,30,132601,55.0
36,Billy Elliot,2000,7.7,74,123277,77.0
37,Hollow Man,2000,5.8,24,121187,58.0
38,Scream 3,2000,5.6,56,120516,56.0
39,Fa yeung nin wah,2000,8.1,85,117946,81.0
40,Shanghai Noon,2000,6.6,77,117075,66.0
41,What Lies Beneath,2000,6.6,51,115583,66.0
42,The 6th Day,2000,5.9,49,114662,59.0
